Time (UTC),Open,High,Low,Close,Volume 
2024.04.29 19:05:00,2335.085,2336.742,2333.365,2336.375,0.48594
2024.04.29 19:10:00,2336.395,2338.045,2336.342,2338.042,0.25611
2024.04.29 19:15:00,2337.985,2337.985,2336.825,2336.825,0.20322
2024.04.29 19:20:00,2336.825,2337.475,2334.802,2335.665,0.30077
2024.04.29 19:25:00,2335.675,2336.145,2335.275,2336.095,0.24351
2024.04.29 19:30:00,2336.125,2336.125,2333.502,2334.305,0.26875
2024.04.29 19:35:00,2334.315,2335.065,2333.885,2334.215,0.20986
2024.04.29 19:40:00,2334.215,2334.215,2333.255,2334.085,0.2049
2024.04.29 19:45:00,2334.125,2334.952,2333.695,2334.755,0.22207
2024.04.29 19:50:00,2334.745,2335.425,2334.445,2335.415,0.21634
2024.04.29 19:55:00,2335.435,2336.435,2335.146,2336.015,0.24839
2024.04.29 20:00:00,2336.015,2336.805,2335.585,2336.805,0.07254
2024.04.29 20:05:00,2336.805,2337.025,2336.315,2336.725,0.05213
2024.04.29 20:10:00,2336.702,2337.015,2336.215,2337.015,0.03251
2024.04.29 20:15:00,2337.015,2337.015,2336.615,2336.705,0.02762
2024.04.29 20:20:00,2336.715,2336.815,2336.005,2336.215,0.02549
2024.04.29 20:25:00,2336.205,2336.445,2336.195,2336.245,0.01464
2024.04.29 20:30:00,2336.185,2336.225,2335.895,2336.225,0.01693
2024.04.29 20:35:00,2336.205,2337.015,2335.925,2336.775,0.03334
2024.04.29 20:40:00,2336.825,2337.185,2336.675,2337.065,0.0265
2024.04.29 20:45:00,2337.035,2337.425,2336.865,2337.075,0.03668
2024.04.29 20:50:00,2337.075,2337.085,2336.575,2336.705,0.04405
2024.04.29 20:55:00,2336.675,2336.675,2335.455,2336.325,0.03364
2024.04.29 22:00:00,2336.425,2336.425,2334.595,2336.285,0.08359
2024.04.29 22:05:00,2336.202,2336.342,2335.342,2335.842,0.02139
2024.04.29 22:10:00,2335.882,2336.602,2335.782,2336.502,0.03828
2024.04.29 22:15:00,2336.476,2336.476,2335.085,2335.345,0.04617
2024.04.29 22:20:00,2335.445,2335.665,2335.435,2335.585,0.02721
